,de,en-GB,en,es,es-MX,fr-CA,fr,it,ja,ko,nl,ru,zh-Hans,zh-Hant
Welcome_Service,Spritzig in Verbindung!,The freshest way to connect!,The freshest way to connect!,¡La forma más molona de conectarse!,¡La forma más chévere de conectarse!,Se connecter avec coolitude!,Se connecter avec classe !,Il modo più mitilico di restare in contatto!,本気のヤツらのためのイカしたサービス,어메이징한 플레이어를 위한 어메이징한 서비스,De coolste manier om verbinding te maken!,Подключайся со стилем!,为全力以赴的玩家准备的超鱿型服务。,專為極限玩家準備的超魷型服務。
Welcome_Splatoon3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,Splatoon 3,スプラトゥーン3,스플래툰 3,Splatoon 3,Splatoon 3,《斯普拉遁 3》,《斯普拉遁 3》
Welcome_Store,Weitere Infos!,Find Out More!,Visit Purchase Site,¡Descubre más cosas!,¡Descubre más cosas!,En découvrir plus!,En découvrir plus !,Scopri di più!,購入サイトへ,구입 사이트로,Ontdek meer!,Подробнее тут!,前往购买网站,前往購買網站
Welcome_Store1,Weitere Infos!,Find Out More!,My Nintendo Store,¡Descubre más cosas!,Tienda My Nintendo,Boutique My Nintendo,En découvrir plus !,Scopri di più!,My Nintendo Store,My Nintendo Store,Ontdek meer!,Подробнее тут!,My Nintendo Store,My Nintendo Store
Welcome_Widgets,Widgets,Widgets,Widgets,Widgets,Widgets,Widgets,Widgets,Widget,ウィジェット,위젯,Widgets,Виджеты,小工具,小工具
XRanking_All,Alle zeigen,Show All,Show All,Todas,Todas,Tout afficher,Tout afficher,Mostra tutto,すべて表示,모두 표시,Alle tonen,Отобразить все,全部显示,全部顯示
XRanking_AppName,X-Ranglisten,X Rankings,X Rankings,Clasifs. rango X,Clasifs. rango X,Classements X,Classements X,Classifiche X,Xランキング,X 랭킹,X-ranglijsten,Разряд X,X排名,X排名
XRanking_Atlantic,Tentatek-Gruppe,Tentatek Division,Tentatek Division,División Arome,División Tentáctica,Division Tentatek,Division OculR,Gruppo Arome,グループ・アロメ,그룹・아로메,Tentatek-competitie,«Щуччи»,组别·艾洛眼,組別‧艾洛眼
XRanking_EstimatedRank,Geschätzt: . Platz,Approximate Rank: #,Approximate Rank: #,Posición estimada: ,Posición estimada: ,Classement estimé : ,Classement estimé : ,Posizione stimata: ,推定位,추정 위,Geschatte positie: ,Предпол. место: ,推算第名,預估第名
XRanking_Measurement,Offen,TBD...,TBD...,En cálculo,En cálculo,Calcul...,Calcul...,Calcolo...,計測中,계측 중,n.n.b.,н/д,计算中,計算中
XRanking_Open,Jetzt offen!,Now Open!,Now Open!,¡En curso!,¡En curso!,En cours!,En cours !,In corso!,開催中！！,개최 중!!,Nu geopend!,Идет!,举行中！！,舉行中！！
XRanking_Pacific,Kalamati-Gruppe,Takoroka Division,Takoroka Division,División Sepioca,División Pulpioka,Division Pionic,Division Cubic,Gruppo Sepia,グループ・ヤコ,그룹・라이즈,Takoroka-competitie,«Рыбок»,组别·暇古,組別‧暇古
XRanking_PastRankings,Vorherige Ranglisten,Past Ranking,Past Ranking,Clasificaciones previas,Clasificaciones previas,Anciens classements,Anciens classements,Classifiche passate,過去のランキング,과거 랭킹,Eerdere ranglijst,Предыдущий рейтинг,以往的排名,過去的排名
XRanking_PastRankingsAnnotation,Vorherige Ranglisten werden jeweils nach Saison-Abschluss berechnet und veröffentlicht. Dies kann unter Umständen mehrere Tage dauern.,Past Ranking is calculated and revealed after the season ends. Please note that it may take a few days in some cases.,Past Ranking is calculated and revealed after the season ends. Please note that it may take a few days in some cases.,"Las clasificaciones previas se calculan y publican cuando concluye la temporada (en ciertos casos, pueden tardar algunos días en estar disponibles).","Las clasificaciones previas se calculan y publican cuando termina la temporada (en ciertos casos, pueden tardar algunos días en estar disponibles).","Les anciens classements sont calculés et publiés une fois la saison terminée. (Dans certains cas, le calcul peut prendre plusieurs jours.)","Les anciens classements sont calculés et publiés une fois la saison terminée. (Dans certains cas, le calcul peut prendre plusieurs jours.)","Le classifiche passate vengono calcolate e rivelate dopo la fine della stagione. In certi casi, potrebbero essere necessari alcuni giorni.",※ 過去のランキングはシーズン終了後、集計をしてから公開されます。集計が終わるまで数日かかる場合があります。,※과거 랭킹은 시즌 종료 후 집계가 완료된 다음 공개됩니다. 집계 완료에는 수일이 경과될 수 있습니다.,De eerdere ranglijst wordt na afloop van het seizoen opgemaakt en gedeeld. Dit kan in sommige gevallen enkele dagen duren.,Предыдущий рейтинг подсчитывается и публикуется после окончания сезона. В некоторых случаях это может занять несколько дней.,※过去的排名将会在赛季结束后统计再公布。可能需要几天才能完成统计。,※過去的排名將會在賽季結束後，於統計完成時公布。統計可能需要幾天才能完成。
XRanking_Period, - { 1 }, - { 1 }, - { 1 }, - { 1 }, - { 1 }, - { 1 }, - { 1 }, - { 1 }, - { 1 }, - { 1 }, t/m { 1 },–{ 1 }, - { 1 }, - { 1 }
XRanking_Rank,.,#,#,.º,.º,#,Pos. ,º,<small>位</small>,<small>위</small>,e,-е,<small>第</small><small>名</small>,<small>第</small><small>名</small>
XRanking_Region,Gruppe,Division,Division,División,División,Division,Division,Gruppo,グループ,그룹,Competitie,Группа,组别,組別
XRanking_SeeRanking,Rangliste,View Ranking,View Ranking,Clasificación,Clasificaciones,Voir le classement,Voir le classement,Vedi la classifica,ランキングを見る,랭킹 보기,Ranglijst,Рейтинг участников,查看排名,查看排名
XRanking_SeeWeaponTop,Beste Spieler/Waffe,Top Weapon Wielders,Top Weapon Wielders,Mejores con esta arma,Mejores con esta arma,Spécialistes de chaque arme,Spécialistes de cette arme,I migliori per arma,ブキトップを見る,무기 톱 보기,Beste spelers per wapen,Топ по оружию,查看顶级武器,查看頂尖武器
XRanking_SelectWeapon,Waffe wählen,Select Weapon,Select Weapon,Elegir arma,Elegir arma,Sélectionner une arme,Sélectionner une arme,Seleziona arma,ブキを選ぶ,무기 선택하기,Wapen kiezen,Выбрать оружие,选择武器,選擇武器
XRanking_Title,X-Ranglisten,X Rank Leaderboard,X Rank Leaderboard,Clasifs. rango X,Clasifs. rango X,Classements X,Classements X,Classifiche X,Xランキング,X 랭킹,X-ranglijsten,Разряд X,X排名,X排名
XRanking_Top500,Top 500,Top 500,Top 500,500 mejores,500 mejores,Top 500,Top 500,Top 500,トップ 500,톱 500,Top 500,ТОП-500,Top 500,Top 500
XRanking_TopPlayers,Top-Spieler,Top Players,Top Players,Mejores jugadores,Mejores jugadores,Top du top,Top du top,I migliori,トッププレイヤー,톱 플레이어,Beste spelers,Топ по режиму,顶级玩家,頂尖玩家
XRanking_WeaponTop,Beste Spieler/Waffe,Top Weapon Wielders,Top Weapon Wielders,Mejores con esta arma,Mejores con esta arma,Spécialistes de chaque arme,Spécialistes de cette arme,I migliori per arma,ブキトップ プレイヤー,무기 톱 플레이어,Beste spelers per wapen,Топ по оружию,顶级武器玩家,頂尖武器玩家
XRanking_WeaponTopSingular,Bester mit dieser Waffe,Top Weapon Wielder,Top Weapon Wielder,Mejor con esta arma,Mejor con esta arma,Spécialiste de cette arme,Spécialiste de cette arme,Migliore con quest'arma!,ブキトップ プレイヤー,무기 톱 플레이어,Beste speler met dit wapen,Топ с этим оружием,顶级武器玩家,頂尖武器玩家
XRanking_Xcrown,Krone,Crown,Crown,Corona,Corona,Couronne,Couronne,Corona,おうかん,왕관,Kroon,Корона,王冠,王冠
XRanking_Xpower,<small>X-Power</small> ,<small>X Power:</small> ,<small>X Power:</small> ,<small>Energía X:</small> ,<small>Fuerza X:</small> ,<small>Force X :</small> ,<small>X Power :</small> ,<small>Energia X:</small> ,<small>Xパワー</small> ,<small>X 파워</small> ,<small>X-kracht:</small> ,<small>Сила X: </small> ,<small>X战力</small> ,<small>X戰力</small> 
CoopHistory_Limited,Nur begrenzte Zeit,Limited Time Only,Limited Time Only,Solo por tiempo limitado,Solo por tiempo limitado,Pour une durée limitée,Pour une durée limitée,Solo tempo determinato,期間限定,기간 한정,Tijdelijk,Только временно,期间限定,期間限定
Widgets_AlbumDescription,Sieh dir die Bilder aus dem Album von SplatNet 3 an.,See SplatNet 3's album images.,See SplatNet 3's album images.,Muestra las imágenes del álbum de SplatNet 3.,Muestra las imágenes del álbum de SplatNet 3.,Voir les images de l'album de SplatNet 3.,Voir les images de l'album de SplatNet 3.,Vedi l'album di immagini di SplatNet 3.,イカリング３のアルバムの画像を表示します。,오징어넷 3의 앨범 이미지를 표시합니다.,Bekijk de afbeeldingen in het album van SplatNet 3.,Просмотр изображений в альбоме приложения SplatNet 3.,显示《鱿鱼圈 3》的相册图片,顯示《魷魚圈 3》的相簿圖片
Widgets_AlbumNoPhoto,Deine tinttastischen Fotos aus Splatoon 3 erscheinen hier!,Your inkredible photos from Splatoon 3 will show up here!,Your inkredible photos from Splatoon 3 will show up here!,¡Aquí se exhibirán tus espectaculares fotos de Splatoon 3!,¡Aquí se exhibirán tus espectaculares fotos de Splatoon 3!,Tes super photos de Splatoon 3 apparaîtront ici!,Tes super photos de Splatoon 3 apparaîtront ici !,Le tue mitiliche foto scattate in Splatoon 3 appariranno qui!,スプラトゥーン3でイカした写真を<br />撮影するとココに表示されるぞ！,스플래툰 3에서 어메이징한 사진을<br />촬영하면 이곳에 표시된다!,Hier verschijnen je spetterendste foto's uit Splatoon 3!,Здесь будут отображаться твои красочные фотографии из Splatoon 3!,在《斯普拉遁 3》中拍摄的超鱿型照片<br />都会显示在这里哦！,在《斯普拉遁 3》中拍攝的超魷型照片<br />都會顯示在這裡喔！
Widgets_AlbumTitle,Album,Album,Album,Álbum,Álbum,Album,Album,Album,アルバム,앨범,Album,Альбом,相册,相簿
Widgets_EquipmentsDescription,Sieh dir deine momentane Ausrüstung in Splatoon 3 an.,See your current gear in Splatoon 3.,See your current gear in Splatoon 3.,Muestra tu equipamiento actual en Splatoon 3.,Muestra tu equipamiento actual en Splatoon 3.,Voir ton équipement actuel dans Splatoon 3.,Voir ton équipement actuel dans Splatoon 3.,Vedi il tuo equipaggiamento in Splatoon 3.,スプラトゥーン3の現在のそうびを表示します。,스플래툰 3의 현재 장비를 표시합니다.,Bekijk je huidige uitrusting in Splatoon 3.,Просмотр текущего снаряжения в Splatoon 3.,显示《斯普拉遁 3》的目前装备。,顯示《斯普拉遁 3》的目前裝備
Widgets_EquipmentsTitle,Momentane Ausrüstung,Current Gear,Current Gear,Equipamiento actual,Equipamiento actual,Équipement actuel,Équipement actuel,Equipaggiamento,現在のそうび,현재 장비,Huidige uitrusting,Снаряжение с собой,目前装备,目前裝備
Widgets_ErrorsNoData,Dieses Widget ist ist mit Splatoon 3 verknüpft. Beim Spielen der Software werden Daten für dieses Widget gesammelt.,This widget is linked to Splatoon 3. Data for the widget will be gathered as you play the game.,This widget is linked to Splatoon 3. Data for the widget will be gathered as you play the game.,Este widget está vinculado a Splatoon 3. Los datos que emplea se recopilan cuando juegas.,Este widget está vinculado a Splatoon 3. Los datos que emplea se recopilan cuando juegas.,Ce widget est associé à Splatoon 3. Les données qui l'alimentent sont recueillies pendant que tu joues au jeu.,Ce widget est associé à Splatoon 3. Les données qui l'alimentent sont recueillies pendant que tu joues au jeu.,Questo widget è collegato a Splatoon 3. I dati del widget verranno raccolti mentre giochi.,このウィジェットはスプラトゥーン3の連携サービスです。ゲームを遊ぶとデータが蓄積され利用できるようになります,이 위젯은 스플래툰 3의 휴대 서비스입니다. 게임을 플레이하면 데이터가 축적되어 이용할 수 있게 됩니다.,"Deze widget is aan Splatoon 3 gekoppeld. Terwijl je speelt, worden er voor de widget gegevens verzameld.",Этот виджет связан с игрой Splatoon 3. Данные для виджета будут собираться в процессе игры.,此工具是用于《斯普拉遁 3》的关联服务，在游玩游戏累积数据后即可使用,這個小工具是《斯普拉遁 3》的連動服務，在遊玩遊戲累積資料數據後即可使用
Widgets_ErrorsNotLoggedIn,Bitte melde dich in der Nintendo Switch Online-Smartphone-App an.,Please sign in to the Nintendo Switch Online smartphone app.,Please sign in to the Nintendo Switch Online smartphone app.,Inicia la sesión en la aplicación para móviles Nintendo Switch Online.,Inicia la sesión en la aplicación para dispositivos móviles Nintendo Switch Online.,Connecte-toi à l'application pour téléphone intelligent Nintendo Switch Online.,Connecte-toi à l'appli pour appareil connecté Nintendo Switch Online.,Accedi all'app per dispositivi smart Nintendo Switch Online.,スマートフォンアプリ『Nintendo Switch Online』にログインしてください,스마트폰 앱 『Nintendo Switch Online』에 로그인해 주십시오,Log in op de Nintendo Switch Online-app.,Выполни вход в приложение для смартфонов Nintendo Switch Online.,请登录智能手机软件《Nintendo Switch Online》,請登入智慧型手機應用程式「Nintendo Switch Online」
Widgets_ErrorsOutOfService,Momentan nicht verfügbar,Currently Unavailable,Currently Unavailable,No disponible actualmente,No disponible actualmente,Actuellement indisponible,Actuellement indisponible,Al momento non disponibile,現在利用できません,현재 이용할 수 없습니다,Momenteel niet beschikbaar,Сейчас недоступно,目前无法使用,目前無法使用
Widgets_ErrorsUpdateRequired,Bitte aktualisiere die Nintendo Switch Online-Smartphone-App.,Please update the Nintendo Switch Online application.,Please update the Nintendo Switch Online application.,Actualiza la aplicación para móviles Nintendo Switch Online.,Actualiza la aplicación para dispositivos móviles Nintendo Switch Online.,Tu dois mettre à jour l'application pour téléphone intelligent Nintendo Switch Online.,Tu dois mettre à jour l'appli pour appareil connecté Nintendo Switch Online.,Aggiorna l'app per dispositivi smart Nintendo Switch Online.,Nintendo Switch Onlineアプリを更新してください,Nintendo Switch Online 앱을 업데이트해 주십시오,Voer een update uit voor de Nintendo Switch Online-app.,Обнови приложение для смартфонов Nintendo Switch Online.,请更新Nintendo Switch Online。,請更新Nintendo Switch Online應用程式
Widgets_Loading,Ladevorgang...,Loading,Loading,Cargando...,Cargando...,Chargement...,Chargement...,Caricamento in corso...,ロード中,로딩 중,Bezig met laden...,Идет загрузка данных...,加载中,載入中
Widgets_StagesBankara,Anarchie-Kampf,Anarchy Battle,Anarchy Battle,Combate caótico,Combate caótico,Match anarchie,Match anarchie,Partita anarchica,バンカラマッチ,카오폴리스 매치,Chaosgevecht,Стихийный бой,蛮颓比赛,蠻頹比賽
Widgets_StagesCoop,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,Salmon Run,サーモンラン,새먼 런,Salmon Run,Salmon Run,鲑鱼跑,SALMON RUN
Widgets_StagesDatetimeFormat,dd.MM. HH:mm,dd/MM HH:mm,MM/dd h:mm a,dd-MM HH:mm,dd/MM HH:mm,dd-MM HH:mm,dd/MM HH:mm,dd/MM HH:mm,M/d HH:mm,M/d HH:mm,dd-MM HH:mm,"dd.MM, HH:mm",M/d HH:mm,M/d HH:mm
Widgets_StagesDescription,Sieh dir den Zeitplan für die Arenen in Splatoon 3 an.,See the Splatoon 3 stage schedule.,See the Splatoon 3 stage schedule.,Muestra el calendario de escenarios de Splatoon 3.,Muestra el calendario de escenarios de Splatoon 3.,Voir l'horaire des cartes de Splatoon 3.,Voir le planning des stages de Splatoon 3.,Vedi il calendario degli scenari di Splatoon 3.,スプラトゥーン3のステージスケジュールを表示します。,스플래툰 3의 스테이지 스케줄을 표시합니다.,Bekijk de geplande volgorde van de levels in Splatoon 3.,Просмотр расписания боев на аренах в Splatoon 3.,显示《斯普拉遁 3》的场地日程,顯示《斯普拉遁 3》的場地時間表
Widgets_StagesDescriptionAndroid,Sieh dir den Zeitplan für die Arenen in Splatoon 3 und deine momentane Ausrüstung an.,See the Splatoon 3 stage schedule and your current gear.,See the Splatoon 3 stage schedule and your current gear.,Muestra el calendario de escenarios de Splatoon 3 y tu equipamiento actual.,Muestra el calendario de escenarios de Splatoon 3 y tu equipamiento actual.,Voir l'horaire des cartes de Splatoon 3 ainsi que l'équipement actuel.,Voir le planning des stages de Splatoon 3 ainsi que l'équipement actuel.,Vedi il calendario degli scenari di Splatoon 3 e il tuo equipaggiamento.,スプラトゥーン3のステージスケジュールと現在のそうびを表示します。,스플래툰 3의 스테이지 스케줄과 현재 장비를 표시합니다.,Bekijk de geplande volgorde van de levels in Splatoon 3 en je huidige uitrusting.,Просмотр расписания боев на аренах и своего текущего снаряжения в Splatoon 3.,显示《斯普拉遁 3》的场地日程及目前装备,顯示《斯普拉遁 3》的場地時間表以及目前裝備
Widgets_StagesFestMatch,Splatfest im Gang!,Splatfest Going On Now!,Splatfest Going On Now!,¡El festival ya está en marcha!,¡El festival ya está en marcha!,Festival en cours!,Festival en cours !,Festival in corso!,フェスマッチ開催中！,페스티벌 매치 개최 중!,Splatfest nu bezig!,Идет Сплатфест!,祭典比赛举行中！,祭典比賽舉行中！
Widgets_StagesFestMatchAnnounced,Bald beginnt ein Splatfest!,Splatfest Starting Soon!,Splatfest Starting Soon!,¡El festival comenzará en breve!,¡El festival comenzará pronto!,Un festival commence bientôt!,Un festival commence bientôt !,Festival in arrivo!,まもなくフェスマッチ開催,페스티벌 매치 개최 예정,Binnenkort begint er een Splatfest!,Скоро Сплатфест!,祭典比赛即将举行,祭典比賽即將舉行
Widgets_StagesLeague,Ligakampf,League Battle,League Battle,Combate del torneo,Combate de liga,Match de ligue,Match de ligue,Partita di lega,リーグマッチ,리그 매치,Toernooigevecht,Бой лиги,联盟比赛,聯盟比賽
Widgets_StagesNoData,Kein Zeitplan verfügbar.,No schedule to display.,No schedule to display.,No hay calendario.,No hay calendario.,Horaire indisponible.,Planning indisponible.,Nessun calendario disponibile.,スケジュールがありません,스케줄이 없습니다,Er is geen schema beschikbaar.,Нет расписания.,没有日程,沒有時間表
Widgets_StagesNowOpen,Aktuell,Now,Now,Actual,Actual,Actuel,Actuel,In corso!,オープン！,오픈!,Nu,Сейчас,开放！,開放！
Widgets_StagesRegular,Standardkampf,Regular Battle,Regular Battle,Combate amistoso,Combate amistoso,Match classique,Match classique,Partita amichevole,レギュラーマッチ,레귤러 매치,Standaardgevecht,Бой салаг,一般比赛,一般比賽
Widgets_StagesSeparator, - , - , to , - , a , à , - , - , - , - , - , - , - , - 
Widgets_StagesSettingsMode,Kampfart,Mode,Mode,Modo,Modo,Mode,Mode,Modalità,表示するモード,표시 모드,Spelstand,Режим,显示的模式,顯示的模式
Widgets_StagesSuppliedWeapons,Verfügbare Waffen,Supplied Weapons,Supplied Weapons,Armas asignadas,Armas disponibles,Armes fournies,Armes fournies,Armi fornite,支給ブキ,지급 무기,Beschikbare wapens,Табельное оружие,发放武器,派發武器
Widgets_StagesTimeFormat,HH:mm,HH:mm,h:mm a,HH:mm,HH:mm,HH:mm,HH:mm,HH:mm,HH:mm,HH:mm,HH:mm,HH:mm,HH:mm,HH:mm
Widgets_StagesTitle,Arenenplan,Stage Schedule,Stage Schedule,Calendario de escenarios,Calendario,Horaire des cartes,Planning des stages,Calendario scenari,ステージスケジュール,스테이지 스케줄,Levelschema,Расписание арен,场地日程,場地時間表
Widgets_StagesXmatch,X-Kampf,X Battle,X Battle,Combate X,Combate X,Match X,Match X,Partita X,Xマッチ,X 매치,X-gevecht,Бой X,X比赛,X比賽
Widgets_StagesYearDatetimeFormat,dd.MM.yyyy HH:mm,dd/MM/yyyy HH:mm,M/d/yyyy h:mm a,dd-MM-yyyy (HH:mm),dd/MM/yyyy (HH:mm),dd-MM-yyyy HH:mm,dd/MM/yyyy HH:mm,dd/MM/yyyy HH:mm,yyyy M/d HH:mm,yyyy M/d HH:mm,dd-MM-yyyy HH:mm,"dd.MM.yyyy, HH:mm",yyyy M/d HH:mm,yyyy M/d HH:mm
Widgets_VsCount,%@,Score: %@,Score: %@,Contador: %@,Contador: %@,Progression : %@,Progression : %@,Punteggio: %@,%@カウント,%@ 카운트,Score: %@,Счет: %@,%@计数,%@計數
Widgets_VsKnockout,K. o.-Bonus!,KNOCKOUT!,KNOCKOUT!,¡Palizón!,¡Dominio total!,K.-O.!,K.-O. !,Bonus KO!,ノックアウト！,녹아웃!,KNOCK-OUT!,Нокаут!,完胜！,完勝！
Widgets_VsNoData,Keine Kampfstatistiken vorhanden.,No battle logs to display.,No battle logs to display.,Sin registros de combates,Sin registros de combates,Il n'existe aucune donnée de match à afficher.,Il n'existe aucune donnée de match à afficher.,Non ci sono statistiche relative alle battaglie.,バトルのきろくがありません,배틀 기록이 없습니다,Er zijn geen gevechtsstatistieken.,Нет протоколов боев.,没有对战记录,沒有對戰記錄
Widgets_VsPercent,%@ %,%@%,%@%,%@ %,%@ %,%@ %,%@ %,%@%,%@%,%@%,%@%,%@%,%@%,%@%
Widgets_VsTurfPoint,%@ P,%@p,%@p,%@ p,%@p.,%@ p.,%@ p.,%@p,%@p,%@p,%@ p,%@ очк.,%@p,%@p
Widgets_VshistoryDescription,Sieh dir die Kampfstatistiken für Splatoon 3 an.,See Splatoon 3 battle logs.,See Splatoon 3 battle logs.,Muestra los registros de combates de Splatoon 3.,Muestra los registros de combates de Splatoon 3.,Consulter le journal de matchs de Splatoon 3.,Consulter le journal de matchs de Splatoon 3.,Vedi le statistiche di battaglia di Splatoon 3.,スプラトゥーン3のバトルのきろくを表示します。,스플래툰 3의 배틀 기록을 표시합니다.,Bekijk statistieken van je gevechten in Splatoon 3.,Просмотр протоколов боев в Splatoon 3.,显示《斯普拉遁 3》的对战记录,顯示《斯普拉遁 3》的對戰記錄
Widgets_VshistoryDraw,Gleichauf,DRAW,DRAW,Empate,Empate,ÉGALITÉ,ÉGALITÉ,Pareggio,DRAW,DRAW,Gelijk,Ничья,DRAW,DRAW
Widgets_VshistoryLose,Verloren,DEFEAT,DEFEAT,Derrota,Derrota,DÉFAITE,DÉFAITE,Sconfitta,LOSE...,LOSE…,Verloren,Провал,LOSE...,LOSE……
Widgets_VshistoryTitle,Kämpfe,Battle Logs,Battle Logs,Registros de combates,Registros,Journal de matchs,Journal de matchs,Battaglie,バトルのきろく,배틀 기록,Gevechtsstatistieken,Протоколы боев,对战记录,對戰記錄
Widgets_VshistoryWin,Gewonnen,VICTORY,VICTORY,Victoria,Victoria,VICTOIRE,VICTOIRE,Vittoria,WIN!,WIN!,Gewonnen,Успех!,WIN!,WIN！
Challenge_Challenge210Description,"Täusche ich mich, oder sieht der Himmel aus wie Öl? Wenn es die perfekte Frittiertemperatur hat...","Is it just me, or does the sky look like oil...at a perfect 350 degrees Fahrenheit...","Is it just me, or does the sky look like oil...at a perfect 350 degrees Fahrenheit...",Ese cielo anaranjado... me recuerda al color del aceite cuando tiene la temperatura ideal.,Ese cielo anaranjado... me recuerda al color del aceite cuando tiene la temperatura ideal.,Vous trouvez pas que le ciel est magnifique? On dirait de l'huile de cuisson...,Vous trouvez pas que le ciel est magnifique ? On dirait de l'huile de cuisson...,"È solo una mia impressione, o il cielo sembra... olio... bollente?",オレンジの空がオイリーだよね～。,오렌지빛 하늘이 꼭 튀김용 기름 같아～,"Ligt het aan mij, of ziet de lucht er hier uit als bakolie? Als die precies goed op temperatuur is...","Мне это только кажется, или небо здесь действительно цвета фритюра идеальной температуры?",橘色的天空就像刷了一层油一样呢～,橘色的天空看起來真是油光閃閃呢～
Challenge_Challenge210Reward,Titel,New Title,New Title,Alias,Nuevo apodo,Nouveau titre,Nouveau titre,Nuovo titolo,二つ名,별명,Titel,Новый титул,称号,別名
Challenge_Challenge210Title,Salmoniden-Damm,Spawning Grounds,Spawning Grounds,Presa salmónida,Presa salmónida,Barrage salmonoïde,Barrage salmonoïde,Diga salmonoide,シェケナダム,셰케나 댐,Salmonietendam,Самонидская ГЭС,鲑坝,鮭壩
Challenge_Challenge21Description,"So wie fein Frittiertes den Magen füllt, füllt Kunst die Seele.","Much like fried food fills the belly, art fills the soul.","Much like fried food fills the belly, art fills the soul.",Dicen que el arte alimenta el espíritu... ¿Más que unas buenas pirañas rebozadas?,Dicen que el arte alimenta el espíritu... ¿Más que unas buenas pirañas rebozadas?,L'art est le plat de petits fours de l'âme.,L'art est le plat de petits fours de l'âme.,"Proprio come il cibo fritto riempie la pancia, l'arte riempie l'anima.",アートに触れるとハートの中心まで火が通るカンジするよね～！,예술 작품을 보면 가슴 속 깊은 곳이 뜨거워지는 것 같아～!,"Kunst voedt de ziel, zoals gefrituurde lekkernijen de maag voeden.","Искусство — та же пища, только для души, а не желудка.",接触到艺术之后，感觉连我的内心深处都熟透了呢～！,接觸到藝術之後，感覺有股烈火直達內心深處呢～！
Challenge_Challenge21Reward,Feines Foto,Hot Snapshot,Hot Snapshot,Foto espectacular,Foto espectacular,Photo ultra stylée,Photo ultra stylée,Foto fantastica,めちゃ映えフォト,SNS 감성 사진,Vette foto,Сверхклассный снимок,非常亮眼的照片,非常亮眼的照片
Challenge_Challenge21Title,Pinakoithek,Museum d'Alfonsino,Museum d'Alfonsino,Museo del Pargo,Museo del Pargo,Galeries Guppy,Galeries Guppy,Museo di Cefalò,キンメダイ美術館,도미 미술관,Galerie Le Guppy,Галерея «Де Берикс»,金眼鲷美术馆,金眼鯛美術館
Challenge_Challenge22Description,"Die Mensa hier ist ein Geheimtipp. Ein echter Panade-- äh, Paradeladen!",The cafeteria here is a real hot spot. They're frying with oil!,The cafeteria here is a real hot spot. They're frying with oil!,Su comedor es sobresaliente. ¡Fríen con aceite de primera calidad!,Su comedor es excelente. ¡Fríen con aceite de primera calidad!,Tout le monde parle que d'la cantine d'ici. Voilà un sujet croustillant!,Tout le monde parle que d'la cantine d'ici. Voilà un sujet croustillant !,La mensa qui sfrigola di clienti!,ここの食堂はフライがイケてるバクアゲスポットなんだ～。,이곳 식당은 어메이징한 튀김으로 유명한 맛집이야～,De belangrijkste lessen leer je hier in de mensa. Ik wil bestuderen hoe ze hier sudderen!,Кафетерий здесь что надо. Они жарят на настоящем масле!,这里的食堂是个人气爆炸的景点，炸物特别棒～,這裡的餐廳炸物超好吃，是個人氣破表的火熱景點喔～
Challenge_Challenge22Reward,Heißer Aufkleber,Sizzlin' Sticker,Sizzlin' Sticker,Pegatina chula,Calcomanía chévere,Autocollant grésillant,Autocollant brûlant,Adesivo infuocato,拾ったステッカー,주운 스티커,Gelikte sticker,Хрустящая наклейка,捡到的贴纸,撿到的貼紙
Challenge_Challenge22Title,Perlmutt-Akademie,Inkblot Art Academy,Inkblot Art Academy,Instituto Coralino,Instituto Coralino,Institut Calm'arts,Institut Calam'arts,Campus Hippocampus,海女美術大学,해녀 미술 대학,Koraalcampus,Академия «Лепота»,海女美术大学,海女美術大學
Challenge_Challenge23Description,Viel zu windig hier! Mir weht's glatt die Kruste weg!,It's too windy here! My crispy golden coat is blowing away!,It's too windy here! My crispy golden coat is blowing away!,¡Qué viento sopla aquí arriba! Hay que estar muy bien rebozado para no sentirlo hasta en los huesos.,¡Cuánto viento sopla aquí arriba! Hay que estar muy bien rebozado para no sentirlo hasta en los huesos.,"Ça souffle sévère, par ici. J'en perdrais presque mes somites!","Ça souffle sévère, par ici. J'en perdrais presque mes somites !",C'è troppo vento qui! La mia doratura croccante sta volando via!,橋の上は風が強くてコロモがめっちゃ飛ばされるんだよね！,다리 위는 바람이 강해서 튀김옷이 날아가 버릴 것 같아!,"Ik heb niks tegen uitwaaien, maar hier waai ik bijna uit mijn krokante korst!",Ну и ветрище! Мой хрустящий тулупчик так и норовит улететь прочь!,桥上的风很大，不少面衣都被吹飞了呢！,橋上的風很大，把我酥脆的外皮吹掉了好幾塊！
Challenge_Challenge23Reward,Feines Foto,Hot Snapshot,Hot Snapshot,Foto espectacular,Foto espectacular,Photo ultra stylée,Photo ultra stylée,Foto fantastica,めちゃ映えフォト,SNS 감성 사진,Vette foto,Сверхклассный снимок,非常亮眼的照片,非常亮眼的照片
Challenge_Challenge23Title,Makrelenbrücke,Hammerhead Bridge,Hammerhead Bridge,Puente Salmón,Puente Salmón,Pont Esturgeon,Pont Esturgeon,Ponte Sgombro,マサバ海峡大橋,고등어 해협 대교,Brandingbrug,Акулий мост,真鲭跨海大桥,真鯖跨海大橋
